amount,link
Ξ0.05,https://etherscan.io/tx/0xc1dce81593670f17a9f738572dffbb166ecf3b06b9942de9f79dc7ab0e437a3f
Ξ0.08,https://etherscan.io/tx/0x48411052fae2b9c86ebef8f4a5772a025ddea7796a0803d59c7bf530425c64db
Ξ0.05,https://etherscan.io/tx/0xd28d91e112b0b667e6c97a1c1026e6ace741822516a2b134087acdbe74406e9d
Ξ0.05,https://etherscan.io/tx/0x80612bf733d9845359a7ba289bbcd770ad7702610e0b01fb8e1a10459592e5af
Ξ0.013,https://etherscan.io/tx/0x52fcdfe6c8928f89f235dddb4df876eaa9feac6e7db900ffe2bcf4a38c3cfe05
Ξ0.003,https://etherscan.io/tx/0x373f02143eae6b803d7c9e1fd5d685deb7c2eb15f43aacbcaf50f98936cd42fd
Ξ0.0799,https://etherscan.io/tx/0x72a80c00f206a647830dacc112c895350695ffffedc8db06a83f8f3df27620b3
Ξ0.0178,https://etherscan.io/tx/0xfb7e72849f5ae708ba43f2b533b6642a770780e3c65e02a342caddd682fb9d79
Ξ0.0087,https://etherscan.io/tx/0x8f2ebb6f9d5ce3e6bae4521dc0324422c3b254672244b648628b5dee9d66f356
Ξ1.5,https://etherscan.io/tx/0x1c0b4cbfd2e82c632789e22c37a93b2aa83bd1facb526e950b021266139560c9
Ξ0.1,https://etherscan.io/tx/0x0abad013472eeaf3e555f9202066a0a8d2ced7a18f8595fb7d92913678d16dc7
Ξ0.0470,https://etherscan.io/tx/0xbf6509b5028ae2faa9c5fb54691793cc4a53cb5fec441a47ce2344502410bbd4
Ξ0.25,https://etherscan.io/tx/0xa3c86f5885a3f69daa09ef2f32b739dfbe47648e15a1ff687ab2887fc1b36f04
Ξ0.005,https://etherscan.io/tx/0x8c6e18f8aed243daffeb26185af9b3f551b41e474bbdc1fec65598da378a6b8b
Ξ0.02,https://etherscan.io/tx/0x843a8b88a0d38176c871e2f4640bbbc710573850b2994ba37e294dffb89bd1a3
Ξ0.2,https://etherscan.io/tx/0x8041d3efc9422ae3a08b2f050b9fcb47965bd93bf7d6266ebfa9aa884263eb52
Ξ0.0470,https://etherscan.io/tx/0x4bc28712f39c78e44836ca705d6491195561c87b6c77c5b05f583b49e05671ec
Ξ0.0082,https://etherscan.io/tx/0xd656cfd1769eb8ed4efe0f6ffc7d6a58beb3570a8401705fc68b633aa4696c6d
Ξ0.2,https://etherscan.io/tx/0xca0a598857baac6f1b1bcbb574b782d300c7f823759c287ea5dc537d63603028
Ξ0.98,https://etherscan.io/tx/0x6a9e530178d93bb26952bd3bba66ec9392e5447ff078b7faca36853031a92c4d
Ξ0.169,https://etherscan.io/tx/0x9a4535e82d132918d9f26f3e89238f80787f9886fe8b7c273209ec8e1263963b
Ξ0.03,https://etherscan.io/tx/0x85efeb6aa8596176b71dcc64c091a78af400578c24817b3deb97b17f22bb806b
Ξ0.1,https://etherscan.io/tx/0x70615edf88595c09f526e4b57a2b261e2ae73a6857ac4ad2a33ac48679f37e2f
Ξ0.1,https://etherscan.io/tx/0x0a425d35c6689e13302629d2d8386a7bfa19aa1b46397527dda24b18bdabcb9f
Ξ0.003,https://etherscan.io/tx/0x7259c991ae228025bb58fb8bce07f58b872c8abff2da38f976e70bbfae63d70a
Ξ0.2,https://etherscan.io/tx/0x38c8387386cf1afa892f820d9a2ebd1e64e8806c3704587d369b336583e55dae
Ξ0.2352,https://etherscan.io/tx/0xa76782fb2750f7d409bf32184f42d8b188114ae0f0f2b0fa4bebf1671daca235
Ξ0.1,https://etherscan.io/tx/0xa6d5e02de553fa7cd512e1c798ba00e848c1675cf3f076d457c4a68c9233f78c
Ξ0.05,https://etherscan.io/tx/0x7f3602f25c685a4b68d30e47f43dfa99f06c54e2f7a818a25e7b24cdcaab600d
Ξ0.1,https://etherscan.io/tx/0x55fc392c975cf235d699dc43e397860c1d1467a9dcdc3a060e1504d725470de2
Ξ0.01,https://etherscan.io/tx/0xf845a46519bc689fe4713cebd41a930d1e700acc094b2a620f6f35a94bca9b76
Ξ0.3,https://etherscan.io/tx/0xea02d8e659aa9fc0581aca32ca40d1a6eef21fee84c9c6430bdbc0a2990aa552
Ξ0.1,https://etherscan.io/tx/0xe6e8a4bc4f086b82691f0d2e38fca1193a1fa261e37c7cfb5c198f9e60a04ae1
Ξ0.1,https://etherscan.io/tx/0xd912c074f338771ea6b21b5ea74e9c1823f0ed29dfd99d341a9a177143d6708e
Ξ0.1,https://etherscan.io/tx/0xd9e2d7f3d79d2c71f328afa4916edaaa697969728be6de208b36922f6ac061b1
Ξ0.08,https://etherscan.io/tx/0xbb3a02defd02777228fa21d2dd8aa9596a863237d977901886ca231644c6fdea
Ξ0.0117,https://etherscan.io/tx/0x985a7ad351393b6b4eefec97325cd9afd05c5bbb5e73f08d84bc2a93c59fcaea
Ξ0.03,https://etherscan.io/tx/0x84e03ac8ed0e66343b694da385a5beeeb1f0a02971c04543727f3df597f1150e
Ξ1,https://etherscan.io/tx/0x576e2c28b0e48d1d3e1343357ec6cc75129bd7c805ed292ddbbaa1f1698bef7e
Ξ0.1,https://etherscan.io/tx/0xef91f5459cccb5f09eeb6af5b78252b656d4cc9451119aa40992d0ac619d6258
Ξ0.05,https://etherscan.io/tx/0xdc1add7bad94f6aaa2fdaff00653dc8a9fd6a0e58f03567df40e0e8e0c5c446c
Ξ0.5,https://etherscan.io/tx/0x2dd1a54c3a780a66b39675a9c920ead6ea1a9cbf1cac876d5ce148fe763039eb
Ξ0.004,https://etherscan.io/tx/0x926df5435049758bb29af25d1256bf3ac4ca026148ea5aee33ae639941b35bc0
Ξ0.02,https://etherscan.io/tx/0x6e00ea70268f4f5835f6c8bf83ee4cb019998fa665186978cb8fb5b5a3910d94
Ξ0.005,https://etherscan.io/tx/0x4545c570efdf037a36d68b5682733d343b87ba872e046bd79a8da6f169bb2d68
Ξ1,https://etherscan.io/tx/0x2c3954c5564c6650f2354c72b69a68ce9badcd6f806c21bc2a6c56d5e92ae4b4
Ξ0.47,https://etherscan.io/tx/0x12a08c3ec45c8de5d563781a33d6251cb8d6fe23c9200ac680a1d6d34b50e070
Ξ0.05,https://etherscan.io/tx/0x88a6a29a078ee96ca48e1421524f5dd055bcaa2bf47911e00472a464b637da39
Ξ0.096,https://etherscan.io/tx/0x6dcd98e12d47a9068d3c727bf0841b2b55a66f2b4587470148ae4726da106a59
Ξ0.1,https://etherscan.io/tx/0x82aef6065b4ef2300439f75186e0b4f1f2d62e90fe7a7001e15593190d2197fd
Ξ2,https://etherscan.io/tx/0x013b8b195989537b24fc99b1016d2af0e351ff9e279f38979b1d7b00ec0ccb50
Ξ0.05,https://etherscan.io/tx/0xf08a2f6cbf916a77a12a6a1bfe1bdd17305b7a58e70746095c0100e2c3a6f47c
Ξ0.22,https://etherscan.io/tx/0xc43e532c9e3508357668a74c7f774310c55bbd81242e309e65bfe2990f70eadb
Ξ0.8888,https://etherscan.io/tx/0x06751fe1db7e827ebb8c86af4a2bfa2c576a3598e44595bc895680bfb14d8783
Ξ0.1,https://etherscan.io/tx/0xefd39abd2f1bcaa234f6e8c7bb3752b95b0bfa2d29d2229d108f770a03448924
Ξ0.05,https://etherscan.io/tx/0xe7a760a820b798193713de87a3fc53a45e671858a56f46cc75d061bf40001b90
Ξ0.1,https://etherscan.io/tx/0xca61d4fa6e7a5f16a9b6e41bd601929df5913dfbd33c4f3dead71b6d6c2413e5
Ξ0.1,https://etherscan.io/tx/0x6e4974be8d5a9040b607d71d883984351f21cd9dce7f8ea620ce52b539ed38ca
Ξ0.02,https://etherscan.io/tx/0xf293358cd9c00e910ca70183548ae5259d962e55f4cb76a29518c9a314ddcf41
Ξ0.01,https://etherscan.io/tx/0xbe4eb440d315b8b732b4f02932c11da111f1e43c994ef552b2d371de512cf11f
Ξ0.1,https://etherscan.io/tx/0x74998e1dc0aeb144449fa48dbe039a8a6136175f942dc00b6265e5d04e931f07
Ξ0.05,https://etherscan.io/tx/0x47585a2c0f286b18b414c1177d9ab06e7075114f470d4a01b517f2f3df708930
Ξ0.1,https://etherscan.io/tx/0x370fa0eff95a0fa601457a265b653ae6195e1881f571aac361da21ccf6724bb3
Ξ0.001,https://etherscan.io/tx/0x7622229e6e4b7132d7a502e0f23e0f1cef9ff7416dee03fc32fe4e79b29addc1
Ξ0.25,https://etherscan.io/tx/0x73d09e9a037ec608cef9a035997f029cc9c58fd6032393fc3721e7802fff8935
Ξ0.1111,https://etherscan.io/tx/0x5d076184ebd00cec4b86d051c42904f02d3aff779134ab829673817d6907a727
Ξ0.005,https://etherscan.io/tx/0x49b6fe9579e174438983ae64525606fe85e3846783e35bbb3914647ea7503cb5
Ξ0.1,https://etherscan.io/tx/0x47ad56130d4c327651ade3ca9dac574cbdc460eb639a05e6371b89f53991066c
Ξ0.1,https://etherscan.io/tx/0x409bac9cad67e43d520b6d61631d2a831970d97ebd59230ca489c014f4995c6e
Ξ0.0002,https://etherscan.io/tx/0x58109453eddc73a0f055a3b6eaf02e864bef4bc3cb5f9f9ac525b0f05c0686da
